"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Chino Valley North (Del Rio #3)","","","AZ00282","","AZ00282","DEL RIO SPRINGS LOAN PARTNERS LLC","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation","Arizona","","34.81556","-112.46722","Arizona","Yavapai","DEL RIO RANCH","2","VERDE RIVER - TR","Congressional District 02, Arizona","S34, T17N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","19","19","","19","Less than 25 feet","985","0","","Undetermined","","239.4","","239.4","25.2","","","Uncontrolled","0","0","0","","0","","","2021-04-02","2012-09-24","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"The Lake","Fagan Lake","","AZ00265","","AZ00265","ANDRADA RANCH;ARIZONA STATE LAND DEPARTMENT","Private;State","Private","0","","No","Other","Other;Fire Protection, Stock, Or Small Fish Pond","Arizona","","31.912219999999998","-110.69083","Arizona","Pima","NO DATA","0","UNNAMED TO DAVIDSON CANYON - TR","Congressional District 06, Arizona","S34, T17S, R16E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","30.8","30.8","","30.8","25-50 feet","370","0","","Undetermined","","34.9","","34.9","3.4","","","Uncontrolled","41","0","0","","0","","","2021-04-02","2006-04-11","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Murphy Reservoir","Sabino Canyon","","AZ00217","","AZ00217","CITY OF TUCSON, TUCSON WATER","Local Government","Local Government","0","","No","Water Supply","Water Supply","Arizona","","32.28111","-110.83111","Arizona","Pima","TUCSON","1","UNNAMED WASH","Congressional District 06, Arizona","S20, T13S, R15E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Unlisted/Unknown","60","60","","60","51-100 feet","300","38500","1987","1980-1989","","51","","51","2","19","47","Uncontrolled","14","0","0","","0","","","2021-04-02","2021-02-11","1","High","Satisfactory","2018-02-07","Yes","","https://damsafety.org/arizona","","",""
"Rancho Detention Basin Dam","","","NV10639","","NV10639","CITY OF LAS VEGAS","Local Government","Local Government","0","VTN NEVADA","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-584","36.2672","-115.26140000000001","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 04, Nevada","212 S19 E60 28DA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","27","22","25","27","25-50 feet","550","30000","2008","Since 2000","","323","323","0","20","6.1000000000000005","18160","Uncontrolled","550","","","","","","Uncontrolled1","2023-05-25","2022-04-12","1","High","Fair","2022-04-12","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Russell Tank Dam","","","AZ82407","","AZ82407","USDA FS","Federal","Federal","0","Unknown","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond;Recreation","Forest Service","030704 07334","35.8723","-111.8794","Arizona","Coconino","SUPAI","50","TRIB. CATARACT WASH","Congressional District 02, Arizona","S29,29N,R5E","No","","","","","","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Rock;Soil","30","25","","30","25-50 feet","500","10350","1930","1930-1939","","60","60","30","","2","540","Uncontrolled","50","","","","","","","2021-05-17","2018-08-21","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Mcmicken","","","AZ10003","","AZ10003","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.6775","-112.42332999999999","Arizona","Maricopa","SURPRISE","0.5","TRILBY WASH","Congressional District 09, Arizona","S13, T4S, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Soil","34.5","34.5","","34.5","25-50 feet","46200","2400000","1956","1950-1959","","23800","23800","0","2230","247","126000","Uncontrolled","2000","0","0","","0","","","2021-04-02","2021-02-02","1","High","Fair","2018-02-05","Yes","","https://damsafety.org/arizona","","",""
"Desert Inn Detention Basin Dam","","","NV10559","","NV10559","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","VTN NEVADA","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-517","36.129830999999996","-115.24255","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 03, Nevada","212 S21 E60 11CC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","17","11","17","17","Less than 25 feet","2554","50000","2002","Since 2000","","61.6","61.6","0","8.1","2","1586","Uncontrolled","100","","","","","","Uncontrolled1","2023-05-25","2022-04-11","1","High","Fair","2022-04-11","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Bowler, John M.  , Et Al  84r25","","","UT20804","","UT20804","GUY BOWLER;JOHN M. BOWLER;LIN BRACKEN","Private","Private","0","","No","Other","Other","Utah","UT20804","37.36159238","-113.6976443","Utah","Washington","","0","","Congressional District 02, Utah","25,39S~17W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","","25","25","25-50 feet","","","","Undetermined","","18","","18","","0","","","","","","","","","","2021-03-17","","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Flamingo Wash Lower Detention Basin Dam","","","NV10789","","NV10789","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-631","36.1024","-115.2085","Nevada","Clark","LAS VEGAS","0","FLAMINGO WASH","Congressional District 03, Nevada","212 S21 E60 24D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","20","18","8","20","Less than 25 feet","700","22077","","Undetermined","","267","267","0","28.8","8.8","8257","Uncontrolled","700","","","","","","None0","2023-05-25","2022-04-11","1","High","Fair","2022-04-11","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Rainbow Detention Basin Dam","","","NV10730","","NV10730","CITY OF LAS VEGAS","Local Government","Local Government","0","NDOT;VTN NEVADA","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-611","36.174457","-115.243524","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 04, Nevada","212 S20 E60 27D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","41","36","6","41","25-50 feet","1000","50000","2002","Since 2000","","134","134","0","5.6000000000000005","27","1763","Uncontrolled","138","","","","","","Other Controlled1","2023-05-25","2020-03-05","3","Significant","Fair","2020-03-05","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Sedona Effluent Reservoirs","","","AZ00232","","AZ00232","CITY OF SEDONA","Local Government","Local Government","0","","No","Other","Other","Arizona","","34.831109999999995","-111.89778","Arizona","Yavapai","CORNVILLE","7","SPRING CREEK - OS","Congressional District 02, Arizona","S25, T17N, R4E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","8","8","","8","Less than 25 feet","4890","200000","1995","1990-1999","","440.3","440.3","0","25","0.1","","Uncontrolled","5","0","0","","0","","","2021-04-02","2017-08-03","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Little Ortega Dam","","","AZ00300","","AZ00300","SILVER CREEK FLOOD PROTECTION DISTRICT","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.29472","-109.83556","Arizona","Apache","NO DATA","0","BROWN CREEK","Congressional District 02, Arizona","S6, T10N, R24E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","12.1","12.1","","12.1","Less than 25 feet","974","0","","Undetermined","","120","","120","29.6","","","Uncontrolled","185","0","0","","0","","","2021-04-02","2020-04-23","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Pacificorp - Sand Cove (Low)","","","UT00266","","UT00266","PACIFICORP","Private","Private","0","","No","Hydroelectric","Hydroelectric","Utah","UT00266","37.28514858","-113.7457975","Utah","Washington","GUNLOCK","2","SANTA CLARA CREEK - OFFSTREAM","Congressional District 02, Utah","27,40S~17W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","16","20","20","Less than 25 feet","580","","1928","1920-1929","","65","65","53","","0.1","","","","","","","","","","2021-03-17","2016-05-31","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Flamingo Wash Upper Detention Basin Dam","","Upper Flamingo Wash","NV10162","","NV10162","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","","No","Debris Control","Debris Control;Flood Risk Reduction","Nevada","J-319","36.09","-115.2697","Nevada","Clark","NORTH LAS VEGAS","0","FLAMINGO WASH","Congressional District 03, Nevada","212 S21 E60 28CD","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","45","35.5","47","47","25-50 feet","4813","300000","1992","1990-1999","1999H;1999S","2080","2080","0","90","19.1","66385","Uncontrolled","884","","","","","","Uncontrolled1","2023-05-25","2022-04-11","1","High","Fair","2022-04-11","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Fenceline Tank","","","AZ00252","","AZ00252","JMP RANCHES INC.","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Irrigation","Arizona","","34.51778","-109.69528","Arizona","Apache","NO DATA","0","MAIL STATION DRAW","Congressional District 02, Arizona","S21, T13N, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","16.8","16.8","","16.8","Less than 25 feet","456","0","1944","1940-1949","","180.3","","180.3","32.3","","","None","0","0","0","","0","","","2021-04-02","2009-11-06","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Town of Eagar Wwtp","","","AZ00272","","AZ00272","TOWN OF EAGAR","Local Government","Local Government","0","","No","Other","Other","Arizona","","34.14694","-109.28833","Arizona","Apache","SPRINGERVILLE","1","UNKNOWN","Congressional District 02, Arizona","S29, T9N, R29E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","7.3","7.3","","7.3","Less than 25 feet","3850","0","1983","1980-1989","","65.7","","65.7","27","","","None","0","0","0","","0","","","2021-04-02","2019-06-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Unnamed Tank","Bat Tank","Currently Named ""Unnamed"" and Not Bat Tank","AZ00339","","AZ00339","ARIZONA STATE LAND DEPARTMENT;MAX KILLIAN","Private;State","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","32.68611","-109.34333","Arizona","Graham","NO DATA","0","WHITLOCK WASH","Congressional District 06, Arizona","S2, T9S, R29E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","10.5","","","10.5","Less than 25 feet","1366","0","","Undetermined","","52.5","","52.5","10.200000000000001","","","Uncontrolled","130","0","0","","0","","","2021-04-02","2011-11-17","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Twin Tanks","","","AZ00264","","AZ00264","ANDRADA RANCH;ARIZONA STATE LAND DEPARTMENT","Private;State","Private","0","","No","Other","Other;Fire Protection, Stock, Or Small Fish Pond","Arizona","","31.911669999999997","-110.66667","Arizona","Pima","TUCSON","28","UNNAMED TO DAVIDSON CANYON - TR","Congressional District 06, Arizona","S36, T17S, R16E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","24.3","24.3","","24.3","Less than 25 feet","792","0","","Undetermined","","68.9","","68.9","8.5","","","Uncontrolled","31","0","0","","0","","","2021-04-02","2006-04-11","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Broken Tank","","","AZ00261","","AZ00261","3 CANYON RANCHES;ARIZONA STATE LAND DEPARTMENT","Private;State","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.73583","-110.80583","Arizona","Coconino","WINSLOW","30","UNNAMED TO PABLO CANYON - TR","Congressional District 02, Arizona","S36, T16N, R14E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","20.6","20.6","","20.6","Less than 25 feet","360","0","","Undetermined","","123.9","","123.9","29.3","","","Uncontrolled","70","0","0","","0","","","2021-04-02","2019-06-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Bowman Dam","","","NV00113","","NV00113","MUDDY RIVER IRRIGATION DISTRICT","Local Government","Local Government","","ROLLINS BROWN & GUNNELL INC.","No","Water Supply","Water Supply;Irrigation;Recreation","Nevada","J-079","36.62106","-114.47996","Nevada","Clark","LOGANDALE","0","MUDDY RIVER-OS","Congressional District 04, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","50","46","52","52","51-100 feet","1245","166648","1950","1950-1959","1968S","4060","4060","4000","165","0.5","640","Uncontrolled","40","","","","","","Valve1","2023-05-25","2022-02-24","1","High","Poor","2022-02-24","Yes","2018-08-31","https://damsafety.org/nevada","","",""
"Skye Canyon Detention Basin 2 Dam ","","","NV10928","","NV10928","CITY OF LAS VEGAS","Local Government","Local Government","","Slater Hanifan Group","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-744","36.319900000000004","-115.3314","Nevada","Clark","Las Vegas","0","","Congressional District 04, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Gravity","Gravity;Earth","Earth","Rock","32","30","32","32","25-50 feet","1200","32870","","Undetermined","","203","203","0","8","1","85","Uncontrolled","88","","","","","","Uncontrolled1","2023-05-25","2022-04-10","0","High","Fair","2022-04-10","Yes","2019-11-20","https://damsafety.org/nevada","","",""
"Town of Springdale 88r161","","","UT20837","","UT20837","TOWN OF SPRINGDALE","Private","Private","0","","No","Other","Other","Utah","UT20837","37.20308389","-112.9974781","Utah","Washington","SPRINGDALE","1","TRIB. TO VIRGIN RIVER","Congressional District 02, Utah","29,41S~10W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","100","17","100","51-100 feet","140","","","Undetermined","","5.1000000000000005","","5.1000000000000005","","0","","","5.5","","","","","","","2021-03-17","","2","Significant","Not Rated","","No","","https://damsafety.org/utah","","",""
"Green Valley Wwtp","","","AZ00209","","AZ00209","PIMA COUNTY WASTEWATER MANAGEMENT","Local Government","Local Government","0","","No","Other","Other","Arizona","","31.90056","-110.97250000000001","Arizona","Pima","TUCSON","16","SANTA CRUZ RIVER - OS","Congressional District 07, Arizona","S36, T17S, R13E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","12.200000000000001","12.200000000000001","","12.200000000000001","Less than 25 feet","3932","112500","1981","1980-1989","","219","219","159","21","0.07","","None","0","0","0","","0","","","2021-04-02","2012-02-23","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Mesa Reservoir","","","AZ00119","","AZ00119","ASPHALT PAVING SUPPLY;FAIN SIGNATURE GROUP","Private","Private","0","","No","Water Supply","Water Supply","Arizona","","34.57667","-112.34306","Arizona","Yavapai","DEWEY","2","LYNX CREEK - OS","Congressional District 02, Arizona","S22, T14N, R1W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","35","","","35","25-50 feet","1800","103215","1935","1930-1939","","154","154","111","10","0.02","","None","0","0","0","","0","","","2021-04-02","2018-01-24","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Oro Ranch (Lake Mary)","","","AZ00242","","AZ00242","JJJ CORPORATION C/O ORO RANCH","Private","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.949439999999996","-113.13361","Arizona","Yavapai","NO DATA","0","NORTH MOUNTAIN HOPE WASH","Congressional District 02, Arizona","S14, T16N, R3E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","30.5","","","30.5","25-50 feet","340","0","","Undetermined","","2284","2284","0","260","8.700000000000001","","Uncontrolled","31","0","0","","0","","","2021-04-02","2007-10-25","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
